0,Basic Latin,0000-007F,"BasicLatin,"
1,Latin-1 Supplement,0080-00FF,"    Latin1Supplement,"
2,Latin Extended-A,0100-017F,"    LatinExtendedA,"
3,Latin Extended-B,0180-024F,"    LatinExtendedB,"
4,IPA Extensions,0250-02AF,"    IPAExtensions,"
,Phonetic Extensions,1D00-1D7F,
,Phonetic Extensions Supplement,1D80-1DBF,
5,Spacing Modifier Letters,02B0-02FF,"    SpacingModifierLetters,"
,Modifier Tone Letters,A700-A71F,
6,Combining Diacritical Marks,0300-036F,"    CombiningDiacriticalMarks,"
,Combining Diacritical Marks Supplement,1DC0-1DFF,
7,Greek and Coptic,0370-03FF,"    GreekAndCoptic,"
8,Coptic,2C80-2CFF,"    Coptic,"
9,Cyrillic,0400-04FF,"    Cyrillic,"
,Cyrillic Supplement,0500-052F,
,Cyrillic Extended-A,2DE0-2DFF,
,Cyrillic Extended-B,A640-A69F,
10,Armenian,0530-058F,"    Armenian,"
11,Hebrew,0590-05FF,"    Hebrew,"
12,Vai,A500-A63F,"    Vai,"
13,Arabic,0600-06FF,"    Arabic,"
,Arabic Supplement,0750-077F,
14,NKo,07C0-07FF,"    NKo,"
15,Devanagari,0900-097F,"    Devanagari,"
16,Bengali,0980-09FF,"    Bengali,"
17,Gurmukhi,0A00-0A7F,"    Gurmukhi,"
18,Gujarati,0A80-0AFF,"    Gujarati,"
19,Oriya,0B00-0B7F,"    Oriya,"
20,Tamil,0B80-0BFF,"    Tamil,"
21,Telugu,0C00-0C7F,"    Telugu,"
22,Kannada,0C80-0CFF,"    Kannada,"
23,Malayalam,0D00-0D7F,"    Malayalam,"
24,Thai,0E00-0E7F,"    Thai,"
25,Lao,0E80-0EFF,"    Lao,"
26,Georgian,10A0-10FF,"    Georgian,"
,Georgian Supplement,2D00-2D2F,
27,Balinese,1B00-1B7F,"    Balinese,"
28,Hangul Jamo,1100-11FF,"    HangulJamo,"
29,Latin Extended Additional,1E00-1EFF,"    LatinExtendedAdditional,"
,Latin Extended-C,2C60-2C7F,
,Latin Extended-D,A720-A7FF,
30,Greek Extended,1F00-1FFF,"    GreekExtended,"
31,General Punctuation,2000-206F,"    GeneralPunctuation,"
,Supplemental Punctuation,2E00-2E7F,
32,Superscripts And Subscripts,2070-209F,"    SuperscriptsAndSubscripts,"
33,Currency Symbols,20A0-20CF,"    CurrencySymbols,"
34,Combining Diacritical Marks For Symbols,20D0-20FF,"CombiningDiacriticalMarksForSymbols,"
35,Letterlike Symbols,2100-214F,"LetterlikeSymbols,"
36,Number Forms,2150-218F,"    NumberForms,"
37,Arrows,2190-21FF,"    Arrows,"
,Supplemental Arrows-A,27F0-27FF,
,Supplemental Arrows-B,2900-297F,
,Miscellaneous Symbols and Arrows,2B00-2BFF,
38,Mathematical Operators,2200-22FF,"    MathematicalOperators,"
,Supplemental Mathematical Operators,2A00-2AFF,
,Miscellaneous Mathematical Symbols-A,27C0-27EF,
,Miscellaneous Mathematical Symbols-B,2980-29FF,
39,Miscellaneous Technical,2300-23FF,"    MiscTechnical,"
40,Control Pictures,2400-243F,"    ControlPictures,"
41,Optical Character Recognition,2440-245F,"    OCR,"
42,Enclosed Alphanumerics,2460-24FF,"    EnclosedAlphanumerics,"
43,Box Drawing,2500-257F,"    BoxDrawing,"
44,Block Elements,2580-259F,"    BlockElements,"
45,Geometric Shapes,25A0-25FF,"    GeometricShapes,"
46,Miscellaneous Symbols,2600-26FF,"    MiscSymbols,"
47,Dingbats,2700-27BF,"    Dingbats,"
48,CJK Symbols And Punctuation,3000-303F,"    CJKSymbolsAndPunctuation,"
49,Hiragana,3040-309F,"    Hiragana,"
50,Katakana,30A0-30FF,"    Katakana,"
,Katakana Phonetic Extensions,31F0-31FF,
51,Bopomofo,3100-312F,"    Bopomofo,"
,Bopomofo Extended,31A0-31BF,
